"","subject","block","...1","group","Congruent","Incongruent","Total","TP","CP","IP","sex","sprache","age","study","study_parents","FAT1","FAT2","EN1","EN2","TE1","TE2","MWP","MSC","sum_inc","sum_con","sum_all","interference"
"81","A11N2XYG9AGJ30",14,89,"low",68,43,111,0.2775,0.303571428571429,0.244318181818182,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,-0.0795847750865052
"82","A11N2XYG9AGJ30",15,90,"low",102,89,191,0.318333333333333,0.303571428571429,0.337121212121212,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,-0.144254278728606
"83","A11N2XYG9AGJ30",2,77,"low",45,26,71,0.8875,1,0.742857142857143,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,1
"84","A11N2XYG9AGJ30",3,78,"low",48,36,84,0.976744186046512,1,0.947368421052632,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,1
"85","A11N2XYG9AGJ30",4,79,"low",51,37,88,0.946236559139785,0.980769230769231,0.902439024390244,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,1
"86","A11N2XYG9AGJ30",5,80,"low",55,40,95,0.95,0.982142857142857,0.909090909090909,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.6
"87","A11N2XYG9AGJ30",6,81,"low",58,33,91,0.834862385321101,0.950819672131147,0.6875,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.666666666666667
"88","A11N2XYG9AGJ30",7,82,"low",63,43,106,0.883333333333333,0.940298507462687,0.811320754716981,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.428571428571429
"89","A11N2XYG9AGJ30",8,83,"low",65,37,102,0.761194029850746,0.866666666666667,0.627118644067797,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.419354838709677
"90","A11N2XYG9AGJ30",9,84,"low",74,28,102,0.68,0.880952380952381,0.424242424242424,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.583333333333333
"91","A121T4P5NKCHCS",1,91,"high",43,20,63,0.7875,0.955555555555556,0.571428571428571,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.764705882352941
"92","A121T4P5NKCHCS",10,100,"high",56,18,74,0.432748538011696,0.583333333333333,0.24,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.175257731958763
"93","A121T4P5NKCHCS",11,101,"high",38,25,63,0.315,0.339285714285714,0.284090909090909,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,-0.0802919708029197
"94","A121T4P5NKCHCS",12,102,"high",28,26,54,0.225,0.208955223880597,0.245283018867925,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,-0.139784946236559
"95","A121T4P5NKCHCS",13,103,"high",46,34,80,0.266666666666667,0.273809523809524,0.257575757575758,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,-0.109090909090909
"96","A121T4P5NKCHCS",14,104,"high",70,57,127,0.3175,0.3125,0.323863636363636,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,-0.128205128205128
"97","A121T4P5NKCHCS",15,105,"high",104,75,179,0.298333333333333,0.30952380952381,0.284090909090909,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,-0.102137767220903
"98","A121T4P5NKCHCS",2,92,"high",40,24,64,0.8,0.888888888888889,0.685714285714286,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.375
"99","A121T4P5NKCHCS",3,93,"high",38,25,63,0.732558139534884,0.791666666666667,0.657894736842105,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.130434782608696
"100","A121T4P5NKCHCS",4,94,"high",43,33,76,0.817204301075269,0.826923076923077,0.804878048780488,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0
"101","A121T4P5NKCHCS",5,95,"high",51,28,79,0.79,0.910714285714286,0.636363636363636,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.523809523809524
"102","A121T4P5NKCHCS",6,96,"high",56,32,88,0.807339449541284,0.918032786885246,0.666666666666667,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.523809523809524
"103","A121T4P5NKCHCS",7,97,"high",52,36,88,0.733333333333333,0.776119402985075,0.679245283018868,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.0625
"104","A121T4P5NKCHCS",8,98,"high",47,24,71,0.529850746268657,0.626666666666667,0.406779661016949,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.129032258064516
"105","A121T4P5NKCHCS",9,99,"high",59,23,82,0.546666666666667,0.702380952380952,0.348484848484849,2,1,61,2,1,1,3,2.2,2.2,0,3.8,2.66666666666667,4.84615384615385,480,771,1251,0.264705882352941
"106","A1257WMSPCDED1",1,106,"low",45,31,76,0.95,1,0.885714285714286,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,1
"107","A1257WMSPCDED1",10,115,"low",46,33,79,0.461988304093567,0.479166666666667,0.44,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.0869565217391304
"108","A1257WMSPCDED1",11,116,"low",42,26,68,0.34,0.375,0.295454545454545,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.0606060606060606
"109","A1257WMSPCDED1",12,117,"low",45,42,87,0.3625,0.335820895522388,0.39622641509434,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.163398692810458
